code_station,libelle_station,libelle_cours_eau,libelle_commune,code_departement,latitude,longitude,module_m3s,q25_m3s,qmna5_m3s,nb_annees
P323401001,La Loyre à Voutezac [Pont de l'Aumonerie],La Loyre,VOUTEZAC,19,45.306118,1.415143,1.7015,0.556,0.237,57
P326431001,Le Roseix à Vars-sur-Roseix,Le Roseix,VARS-SUR-ROSEIX,19,45.262006,1.380651,0.7351,0.054,0.005,50
P327401001,La Loyre à Saint-Viance [Pont de Burg],La Loyre,SAINT-VIANCE,19,45.2179,1.438012,3.37,0.734,0.336,42
P332251001,La Corrèze à Saint-Yrieix-le-Déjalat [Pont de Lanour],La Corrèze,SAINT-YRIEIX-LE-DEJALAT,19,45.468506,1.964732,1.984,0.52,0.154,54
P335252001,La Corrèze à Corrèze,La Corrèze,CORREZE,19,45.372317,1.880203,5.7813,1.628,0.488,32
P350251001,La Corrèze à Tulle [Pont des soldats],La Corrèze,TULLE,19,45.274923,1.779345,9.8774,2.864,0.966,56
P361401001,La Montane à Eyrein [Pont du Geai],La Montane,EYREIN,19,45.34238,1.939009,1.2309,0.346,0.114,68
P367401001,La Saint-Bonnette [La Montane] à Laguenne,La Saint-Bonnette,LAGUENNE,19,45.250808,1.765531,4.5806,1.127,0.458,35
P384010101,La Roanne à Dampniat - Les Rasclies,La Roanne,DAMPNIAT,19,45.168893,1.653887,1.8584,0.451,0.181,12
P392252001,La Corrèze à Brive-la-Gaillarde - Pont du Buy,La Corrèze,BRIVE-LA-GAILLARDE,19,45.164118,1.54058,20.384,6.292,2.673,34
P399401001,Le Maumont Blanc à Ussac [La Chanourdie],rivière le maumont,USSAC,19,45.188466,1.488835,2.7103,0.9,0.447,47
P400101001,La Vézère à Larche,La Vézère,LARCHE,19,45.123331,1.415785,49.2723,15.921,5.755,57
P400101002,La Vézère à Larche - Capteur débitmétrique,La Vézère,LARCHE,19,45.123331,1.415785,55.9442,16.983,7.096,5
P401501001,La Couze à Chasteaux [Le Soulier],La Couze,CHASTEAUX,19,45.094718,1.468534,0.8469,0.225,0.122,55
P401551001,[Le Sorpt] à Chasteaux [Roziers] - (affluent de la Couze),,CHASTEAUX,19,45.087241,1.469878,0.2771,0.08,0.053,10
P620251001,L'Auvézère à Benayes,L'Auvézère,BENAYES,19,45.516649,1.475544,0.3277,0.102,0.038,39
P622251001,L'Auvézère à Lubersac,L'Auvézère,LUBERSAC,19,45.441772,1.360713,1.4817,0.497,0.21,29
F001000101,Le Revinson à Aignay-le-Duc,Le Revinson,AIGNAY-LE-DUC,21,47.662934,4.700962,0.5405,0.11,0.035,19
F002000101,La Coquille à Beaunotte,La Coquille,BEAUNOTTE,21,47.678655,4.704965,0.6727,0.185,0.064,19
F020000101,La Laignes [Douix de Laignes] à Laignes - Fontaine de la Laignes,La Laignes,LAIGNES,21,47.842954,4.365244,,,,
F041000201,La Digeanne à Montmoyen,La Digeanne,MONTMOYEN,21,47.740042,4.786664,1.1129,0.296,0.11,19
F042000101,Le ruisseau du Canal [Source ruisseau du canal - Abbaye Val des Choues] à Villiers-le-Duc - Source Val des Choues,Ruisseau du Canal,VILLIERS-LE-DUC,21,47.768554,4.754654,,,,
F324000201,L'Argentalet à la Roche-en-Brenil [Hameau de Clermont],L'Argentalet,ROCHE-EN-BRENIL,21,47.407439,4.170067,0.4383,0.034,0.0,7
F330000101,L'Armançon à Pont-et-Massène [Barrage] - Aval barrage,L'Armancon,PONT-ET-MASSENE,21,47.470104,4.36098,1.7669,0.254,0.127,7
F330000102,L'Armançon à Pont-et-Massène [Barrage] - Amont barrage,L'Armancon,PONT-ET-MASSENE,21,47.468521,4.359333,,,,
F332000201,La Brenne à Aubigny-lès-Sombernon,La Brenne,AUBIGNY-LES-SOMBERNON,21,47.304381,4.638598,0.245,0.019,0.002,14
F332000202,La Brenne à Aubigny-lès-Sombernon - Débit entrant au barrage,La Brenne,AUBIGNY-LES-SOMBERNON,21,47.312522,4.600858,,,,
F333000201,L'Ozerain à Hauteroche,L'Ozerain,HAUTEROCHE,21,47.489158,4.579868,0.9004,0.101,0.004,25
F335000101,La source de la Douix à Darcey - Douix de Darcey,Cours d'Eau 01 de la Commune de Darcey,DARCEY,21,47.556092,4.581453,,,,
F336000201,Le Tantavion à Montigny-Montfort - Source des Ormes,Le Tantavion,MONTIGNY-MONTFORT,21,47.571435,4.35679,,,,
H002001001,La Seine à Quemigny-sur-Seine [Cosne],La Seine,QUEMIGNY-SUR-SEINE,21,47.67808,4.669533,2.9563,0.693,0.249,21
H010001001,La Seine à Nod-sur-Seine,La Seine,NOD-SUR-SEINE,21,47.764482,4.57034,4.5761,1.091,0.381,57
H030101001,L'Ource à Leuglay [Froidvent],L'Ource,LEUGLAY,21,47.798345,4.823551,2.0881,0.432,0.131,40
H032103001,L'Ource à Autricourt,L'Ource,AUTRICOURT,21,47.998637,4.615057,6.3095,1.271,0.369,58
H232201001,Le Serein à Bierre-lès-Semur,Le Serein,BIERRE-LES-SEMUR,21,47.417855,4.291088,2.3173,0.203,0.031,55
